Seniority,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Weight
22,9,125,1849.0,0,1,122
3,90,1753,16880.0,3,2,1197
5,75,2283,18001.8,6,2,1730
5,75,1896,11839.94,6,2,1135
2,90,1497,13673.33,2,1,1015
5,90,1560,20140.0,4,2,1230
8,8,75,4500.0,0,1,85
1,7,49,1838.5,0,1,98
23,90,1753,16442.0,6,2,1485
2,50,498,4699.0,0,1,174
4,90,1396,14990.0,5,1,1178
6,71,1391,10090.99,5,1,875
1,110,1587,15631.0,5,1,1141
2,120,1199,19400.01,5,1,1227
5,90,1997,18340.0,5,2,1243
3,112,1991,14700.0,5,2,1357
6,163,2776,34400.0,5,2,1874
29,68,999,14450.0,5,1,973
2,90,1753,19190.0,6,2,1435
21,12,125,3160.0,0,1,149
3,100,1560,24235.01,5,2,1374
9,90,1753,15822.0,5,2,1485
1,84,1248,14315.22,5,1,1127
5,69,1868,17222.0,5,2,1480
2,80,1198,12800.0,5,1,910
2,90,1753,17180.0,5,2,1211
1,21,198,3575.0,0,1,157
2,150,2148,34090.04,3,2,1440
2,120,1598,22045.0,5,1,1220
4,110,1598,19850.0,5,2,1443
2,65,1461,17130.0,5,2,1085
3,100,1753,19220.0,5,2,1241
5,115,1229,16030.0,5,2,1105
7,65,1461,11591.72,3,2,975
2,174,2461,46090.0,5,2,2247
2,174,998,8281.95,5,2,775
2,11,125,2209.0,0,1,121
24,64,1896,10756.24,3,2,1070
12,4,49,865.16,0,1,60
3,82,1341,9255.59,5,1,945
4,71,998,9000.0,5,2,790
4,71,1895,19755.27,5,2,1250
19,60,1391,11800.0,4,1,1018
2,75,999,11355.0,5,1,939
2,120,1498,22375.0,5,2,1268
7,85,1998,19880.0,5,2,1734
3,143,1998,18427.03,3,1,1130
8,90,1896,14625.0,4,2,1159
6,70,1248,19230.0,5,1,1370
3,102,1595,17799.0,5,1,1205
4,100,1595,15878.74,3,1,1171
20,12,125,2669.0,0,1,124
2,75,1595,11900.04,5,1,890
3,105,1896,21470.0,5,2,1335
1,115,1197,23050.0,5,1,1350
3,71,1868,17630.0,5,2,1267
1,90,1997,16320.0,5,2,1145
4,115,2402,26160.0,5,2,2058
5,109,2996,31183.51,4,2,1390
18,110,1598,16167.23,2,1,1060
1,95,999,18560.0,5,1,1128
1,95,1461,21400.0,5,1,1407
20,88,1753,16990.61,4,2,1337
2,100,2496,22531.94,5,2,1930
3,140,1910,22010.0,3,2,1210
1,125,1796,22230.0,2,1,1195
7,90,1560,18090.0,5,2,1357
18,46,535,6244.52,0,1,182
28,120,2993,49500.0,3,1,1625
26,112,2495,24425.13,3,2,2053
1,60,1149,9856.6,5,1,870
2,55,999,7200.0,5,1,818
2,69,998,13550.0,3,1,935
5,5,49,1051.45,0,1,58
1,100,1596,17480.0,5,1,1122
3,105,1598,22059.99,3,2,1140
4,30,499,12093.0,0,1,406
4,30,1248,25000.0,0,1,1030
5,120,1910,22290.0,5,2,1335
5,120,1598,15280.0,5,2,1165
3,106,1560,18765.0,5,2,1357
8,110,1896,17850.0,5,2,1259
8,110,1896,13365.0,5,2,1109
3,96,806,7350.0,0,1,226
3,85,1248,14440.0,5,1,970
1,90,1560,15585.0,3,2,1103
4,113,1896,17100.0,4,1,1083
3,90,1582,15511.0,5,2,1292
20,84,2820,20291.56,5,2,2674
5,85,1700,12801.56,5,1,1135
5,110,1560,18470.0,5,2,1253
7,5,49,1051.45,0,1,58
2,115,1910,28603.0,4,1,1355
10,90,1753,15410.0,4,2,1399
1,120,1910,22370.0,5,2,1310
3,75,2496,16654.05,5,2,1787
3,75,1995,28400.0,5,2,1574
8,68,1399,15410.0,5,2,1105
9,7,49,2139.0,0,1,85
19,110,1896,20344.26,4,2,1378
7,100,1896,21330.0,5,2,1210
3,105,1968,31290.0,5,2,1445
3,60,1753,9538.06,5,2,1057
5,75,1598,20800.01,4,1,1320
7,150,1991,27956.2,4,1,1360
7,150,1124,9495.99,4,1,805
3,15,124,3399.0,0,1,149
1,90,1896,14857.02,3,2,1096
7,90,1560,20825.0,5,2,1315
8,9,109,1849.0,0,1,99
2,80,1229,12450.0,5,1,960
4,150,1991,39200.0,5,2,1835
4,150,999,16380.0,5,2,1190
3,100,1396,19490.0,5,1,1185
3,100,796,8295.0,5,1,775
6,90,1587,14807.77,5,1,1078
6,90,1199,17700.0,5,1,1040
2,20,250,4999.0,0,1,164
10,90,1560,15650.0,3,2,1197
1,110,1896,25753.37,4,2,1350
20,80,1388,12860.0,5,1,1027
2,136,1598,25271.1,5,2,1449
6,71,1868,16595.99,5,2,1480
3,100,1598,14364.19,4,1,1130
1,90,1753,15910.0,4,2,1577
10,90,1974,17693.8,5,2,1270
10,90,1968,25690.0,5,2,1340
5,9,125,2165.0,0,1,112
5,92,1560,19190.0,5,2,1182
5,92,1560,22365.24,5,2,1360
9,115,1998,20360.0,5,2,1655
5,110,1598,22100.0,5,1,1320
5,110,1332,15050.0,5,1,970
3,85,1390,14750.0,3,1,995
3,95,1368,16800.0,5,1,1245
4,69,1086,11140.0,5,1,905
5,5,49,1629.0,0,1,101
3,108,3222,47423.11,6,2,1680
3,108,2953,22838.46,6,2,1970
15,110,1896,19645.0,5,2,1259
3,218,4398,85500.0,5,2,1615
1,20,239,2899.0,0,1,135
6,60,999,13165.01,5,1,854
3,140,1991,23115.0,4,2,1525
4,69,1296,5710.46,3,1,800
6,90,1997,15761.24,5,2,1185
8,65,1798,27300.0,5,2,1420
8,143,1995,33800.0,2,1,1380
8,143,1199,20800.01,2,1,1180
7,100,2461,21930.93,4,1,1607
5,11,125,2799.0,0,1,116
5,61,1124,11270.0,5,1,978
18,4,49,2679.0,0,1,108
17,90,1560,17090.0,3,2,1189
17,90,1998,17880.11,3,2,1325
7,4,49,1899.0,0,1,78
8,78,1248,12600.0,5,1,945
1,7,49,1682.23,0,1,85
1,163,1998,37600.0,2,1,1290
2,64,1896,11988.31,3,2,1105
2,115,1796,15800.61,5,1,1277
6,105,1598,18910.0,5,1,1210
9,150,1997,31850.0,4,2,1575
24,123,1998,19671.13,5,1,1238
1,130,1896,29010.0,4,2,1395
6,82,1341,9423.87,4,1,1010
5,84,1248,14700.0,5,1,1110
12,7,49,3020.0,0,1,92
12,7,49,1501.93,0,1,90
14,82,1341,9423.87,4,1,1010
9,45,250,6943.0,0,1,100
1,170,2143,45378.19,2,2,1615
1,125,2198,29495.0,5,2,1781
12,110,1560,25400.0,4,2,1437
21,136,1997,23480.0,3,2,1335
2,156,1595,41486.43,5,1,1435
3,100,1598,13661.01,4,1,1060
2,100,1995,23340.0,4,2,1435
1,72,998,14720.0,5,1,883
23,69,1242,14600.01,3,1,865
3,150,2148,27675.28,5,2,1745
3,100,1598,13661.01,5,1,1050
3,110,1587,18180.0,5,1,1324
1,75,1360,11470.0,3,1,950
1,75,1124,12275.0,3,1,978
1,60,1686,11557.46,5,2,1065
3,136,1796,29974.3,5,2,1370
2,63,1910,13721.6,5,2,1290
1,75,1910,13552.82,5,2,1245
2,71,1867,15760.0,5,2,1220
3,113,1590,14724.8,5,1,1235
1,120,1998,23800.0,4,2,1410
1,110,1968,26840.0,4,2,1435
3,110,1896,26850.0,5,2,1335
4,130,1984,27330.0,4,1,1310
4,130,1390,23710.0,4,1,1255
5,90,1364,20849.99,5,2,1195
5,109,1396,16550.0,5,1,1168
5,109,1896,25753.37,5,1,1350
2,66,998,10700.0,5,1,933
2,4,49,1899.0,0,1,78
3,5,49,2467.0,0,1,90
3,5,125,3499.0,0,1,189
12,14,125,2259.0,0,1,120
12,14,398,5999.0,0,1,228
8,59,1086,9100.0,5,1,884
1,130,1896,25130.0,5,2,1279
11,7,49,3020.0,0,1,92
2,90,1896,14625.0,4,2,1159
2,95,1248,21490.0,5,2,1320
1,28,292,5799.0,0,1,179
3,70,1398,14067.0,5,2,947
4,143,2148,38123.11,4,2,1590
13,60,1124,13120.0,5,1,1010
13,60,1362,28212.58,5,1,1580
3,64,1896,11455.0,4,2,1105
8,100,1686,20670.0,3,2,1285
20,80,2499,19977.64,5,2,1760
3,150,1968,28589.67,3,2,1375
1,90,1905,17934.2,4,2,1375
3,60,1390,10497.9,5,1,1020
10,130,1896,21985.0,4,2,1314
4,100,1598,14570.0,3,1,1145
4,88,1493,14600.0,5,2,1112
4,95,1997,18875.39,5,2,1415
4,95,1896,25753.37,5,2,1350
1,75,1389,7602.8,5,1,780
1,90,1896,17068.74,5,2,1270
8,110,2495,21438.1,5,2,2053
9,110,1968,20720.0,5,2,1266
1,20,250,5299.0,0,1,164
12,60,1299,7903.31,3,1,860
3,90,1364,22580.0,5,2,1200
15,140,1968,29080.0,3,2,1304
1,136,2387,33368.19,4,2,1565
4,82,1299,14169.0,5,1,1185
3,71,1905,12230.6,3,2,1155
4,70,1398,13620.0,5,2,1022
19,75,1360,11470.0,3,1,950
13,152,1998,29500.0,5,1,1465
5,97,1388,14800.0,5,1,1098
27,65,1461,10580.0,3,2,1059
19,120,998,21889.99,5,1,1233
4,90,1997,17770.0,5,2,1311
9,106,1598,12861.66,4,1,1222
20,65,1870,12471.0,4,2,1065
9,75,1199,17790.0,5,2,1057
9,109,1396,15050.0,5,1,1168
4,60,1124,10038.52,5,1,825
2,231,2979,42900.0,4,1,1605
2,180,1997,29250.0,2,1,1415
6,84,1206,11450.0,5,1,1030
4,12,124,2899.0,0,1,163
4,12,125,2090.0,0,1,142
2,136,1951,28451.91,4,2,1450
7,85,1341,11275.0,5,1,965
5,140,998,11706.0,5,2,840
1,110,1896,22111.24,4,2,1375
1,41,583,3173.3,0,1,199
24,72,998,16160.0,5,1,883
2,110,1560,25170.0,5,2,1495
2,150,1995,34100.0,5,2,1505
2,70,1398,12815.0,5,2,1022
11,130,1896,29010.0,4,2,1395
3,20,250,5299.0,0,1,170
15,64,1896,19645.0,5,2,1259
4,120,1910,23470.0,5,2,1335
3,46,535,6316.0,0,1,182
4,68,1587,12700.0,5,2,1013
2,75,1349,12400.0,3,1,950
9,84,2820,13753.95,5,2,1820
18,71,1868,15201.0,4,2,1281
6,80,2496,14778.89,5,2,1648
3,100,1596,16250.0,5,1,1096
2,71,1905,13823.28,3,2,1185
13,75,1248,17370.0,5,2,1180
13,75,898,19070.0,5,2,1173
13,75,2171,35900.0,5,2,1570
13,75,1968,21761.85,5,2,1564
9,126,1998,20180.0,5,2,1385
6,114,1769,16016.0,3,1,1205
1,20,250,5299.0,0,1,170
2,90,1781,12561.15,5,1,900
4,85,1390,13465.1,3,1,1028
3,71,998,15900.01,3,2,1052
2,82,2148,19859.2,4,2,1625
20,60,1297,10313.37,5,1,910
10,110,1587,23290.0,2,1,1382
6,60,1389,9301.26,5,1,995
1,69,1242,12500.0,5,1,965
12,75,1769,16590.0,5,2,1420
7,79,2299,16741.91,4,2,1600
18,90,1997,18943.0,5,2,1300
18,90,1149,9445.0,5,2,950
1,90,1997,16390.0,4,2,1280
10,110,1686,15692.59,2,2,1185
3,105,1598,24080.0,5,2,1220
3,71,1905,13823.28,3,2,1185
5,60,1896,14599.74,5,1,1155
1,69,1242,14600.01,3,1,865
2,13,125,4099.0,0,1,149
2,75,1910,13552.82,5,2,1245
14,60,1868,13260.0,4,2,970
1,90,1597,10698.02,3,1,945
3,65,1560,18500.0,5,2,1205
3,75,999,14874.69,5,1,1055
1,109,2996,31183.51,4,2,1390
1,143,1995,25950.0,3,2,1310
5,95,1560,16850.0,5,2,1042
14,90,1560,18780.0,5,2,1155
1,75,999,10600.0,5,1,1043
1,110,1199,16100.01,5,1,1125
20,150,1995,38000.0,5,2,1745
1,70,1398,16270.0,5,2,1022
3,115,1753,21090.0,5,2,1427
2,90,1753,20200.0,5,2,1432
2,13,124,2205.71,0,1,132
2,90,1587,16105.89,5,1,1240
6,90,1997,21372.0,5,2,1360
2,69,1242,10150.0,3,1,865
1,55,745,9794.0,0,1,237
1,92,1905,18074.84,5,2,1405
1,92,1598,18645.0,5,2,1200
6,60,1769,8688.23,5,2,880
6,60,1896,19391.2,5,2,1170
3,90,1598,20270.0,5,2,1225
9,130,1598,27650.0,5,2,1562
9,130,1388,10445.59,5,2,998
3,110,1461,26650.0,5,2,1365
7,184,2926,48000.0,5,2,2080
2,110,1560,19390.0,5,2,1205
19,92,1560,18950.0,5,2,1160
2,75,1149,14500.0,5,1,965
3,90,1197,17134.69,5,1,1107
3,45,498,5499.0,0,1,181
9,127,2800,28133.48,2,2,1815
17,136,2179,26720.0,4,2,1485
8,139,2351,24672.0,5,1,1863
7,150,1587,23290.0,2,2,1382
1,105,1598,21695.0,5,2,1243
4,60,1753,12314.74,5,2,1064
13,105,1597,17095.0,5,1,1197
1,75,1598,11978.17,3,1,1130
10,75,1390,11479.33,5,1,960
2,113,1994,18170.0,5,2,1230
1,90,1461,12630.0,5,2,1083
4,45,1598,21810.0,5,1,1212
1,110,2685,42623.11,4,2,1650
1,177,1995,47000.0,2,2,1655
2,140,1968,28580.0,4,2,1454
14,71,1905,14793.43,5,2,1106
5,116,1870,22775.0,4,2,1375
1,105,1598,18910.0,5,1,1210
18,85,1998,19930.0,5,2,1734
5,109,1997,21968.2,5,2,1520
7,90,1896,14625.0,4,2,1159
4,92,1399,15410.0,5,2,1105
4,110,1769,12603.22,5,2,1185
3,63,1870,20485.0,4,2,1270
17,90,1197,16274.68,5,1,1107
7,90,1396,19305.0,5,2,1270
7,140,1968,22600.0,5,2,1315
11,110,1560,18210.0,5,2,1125
13,81,4525,42920.0,0,2,4525
3,95,999,15130.0,5,1,1145
1,63,1193,7670.72,3,1,890
3,122,1390,24190.0,3,1,1244
6,125,1781,23510.0,3,1,1160
9,170,1242,14600.01,2,2,865
5,120,999,21310.0,5,2,1179
13,70,1398,15385.0,5,2,947
1,90,1560,15740.0,5,2,1197
1,31,125,2199.7,0,1,108
3,68,1399,13750.0,5,2,1066
17,140,1968,25990.0,3,2,1276
4,105,1399,12500.0,5,2,1170
2,83,1296,16197.27,5,1,1045
1,60,1368,19300.0,3,2,1195
5,115,1596,17150.0,3,1,1239
5,115,1339,17900.0,3,1,1213
9,100,1597,14051.66,5,1,1188
4,80,1974,17826.0,5,1,1330
27,75,1360,12110.0,5,1,1005
3,110,1587,18640.0,5,1,1269
4,140,1998,28800.0,5,2,1455
2,90,1197,15930.0,5,1,1089
1,100,1596,16360.0,3,1,1083
8,61,1124,13790.0,5,1,1085
12,96,599,8235.0,0,1,176
12,96,123,1254.31,0,1,95
2,115,1998,18150.57,5,1,1245
1,100,1368,21075.0,5,1,1179
10,117,1749,21570.0,4,1,1400
17,51,796,8400.0,5,1,776
1,125,2151,32208.24,4,2,1410
1,125,999,19650.0,5,1,1205
4,100,998,21225.0,5,1,1180
2,105,1896,25490.0,4,2,1422
1,110,1560,23560.0,5,2,1350
1,116,1496,29627.65,5,2,1350
2,75,1360,11470.0,3,1,950
1,126,2287,42277.0,4,2,2287
1,126,1560,19364.87,4,2,1407
1,71,1868,16680.0,5,2,1267
2,94,1997,19923.2,5,2,1561
2,143,1794,25600.0,3,1,1025
2,143,1560,19350.0,3,1,1310
1,92,1560,17600.0,5,2,1202
1,75,1248,14859.26,4,2,1395
2,75,1560,20195.0,5,2,1360
1,81,1493,12525.0,5,2,1112
2,177,1995,34900.0,4,2,1430
2,177,2960,50845.62,4,2,1585
1,110,1560,22970.0,5,2,1429
5,140,1968,24700.0,5,2,1465
7,110,2953,24875.94,2,2,2000
7,110,3200,36289.11,2,2,2000
7,110,2148,21390.4,2,2,1630
8,68,998,9538.06,5,1,830
4,7,102,1399.0,0,1,100
2,105,1896,19250.0,5,2,1250
2,83,1399,10150.0,5,1,995
2,83,1753,16140.0,5,1,1349
5,115,1199,18350.0,5,1,1205
8,90,1896,17270.0,5,2,1232
1,71,1868,12993.88,4,2,1191
18,60,1390,10036.9,5,1,985
4,65,1870,10307.36,4,2,900
26,11,74,2175.18,0,1,85
19,106,998,18182.0,0,1,316
1,11,124,3354.0,0,1,115
19,60,1685,26315.0,3,1,1425
9,68,1399,14400.0,5,2,1082
6,125,2798,23815.47,2,2,1925
2,100,1896,10066.95,5,2,995
4,60,1391,11800.0,4,1,1018
1,75,1390,13326.0,5,1,1057
2,140,1896,30625.0,5,2,1666
3,20,250,4999.0,0,1,164
1,90,1399,14400.0,4,2,1082
2,110,1560,24370.0,5,2,1414
3,95,1397,16330.0,3,1,1060
1,115,1753,19670.0,5,2,1218
3,90,1896,16210.0,3,2,1100
3,28,292,5799.0,0,1,179
5,65,1461,13000.0,3,2,970
5,65,1120,17965.0,3,2,1143
1,75,1248,15528.01,5,2,1245
19,57,1199,9830.0,4,2,980
3,15,125,3099.0,0,1,188
5,140,1799,20800.0,5,1,1263
5,140,1396,19490.0,5,1,1185
1,68,1896,18226.65,3,2,1445
6,98,1390,17900.0,3,1,1145
3,100,1560,21889.99,5,2,1374
6,105,1896,22830.0,5,2,1498
2,245,1896,19751.12,5,2,1250
4,98,600,7699.0,0,1,187
2,90,1461,19545.0,5,2,1320
18,5,49,1051.45,0,1,58
9,120,598,5078.55,0,1,182
1,105,1896,18550.0,5,2,1250
1,105,1896,19645.0,5,2,1259
18,137,1995,33900.0,5,2,1410
3,60,1769,12621.25,4,2,950
10,125,1686,22940.0,5,2,1428
24,90,1560,20265.0,4,2,1371
3,110,1896,25753.37,4,2,1350
1,105,1461,22700.0,5,2,1460
5,61,1124,12795.0,5,1,1010
5,61,1587,19024.0,5,1,1240
4,90,1753,17180.0,5,2,1211
1,68,1398,17050.0,5,2,1070
2,98,1497,16950.0,5,1,1179
1,95,1499,17325.0,5,2,1108
4,85,2496,18180.62,5,2,1808
4,4,49,1535.0,0,1,78
2,98,600,8999.0,0,1,187
4,71,1905,15214.13,5,2,1153
1,12,125,2669.0,0,1,124
18,105,1896,22595.0,5,2,1287
9,65,1461,15120.0,5,2,1085
10,60,1124,11075.0,5,1,825
10,60,1997,20836.0,5,1,1300
2,136,1968,33630.0,4,2,1475
8,143,1995,27400.0,3,2,1320
10,150,1984,27960.0,4,1,1389
2,122,1591,19050.0,5,1,1168
18,100,1870,28850.0,5,2,2107
1,14,125,2259.0,0,1,120
3,100,1686,18400.0,3,2,1286
5,65,1870,13823.28,5,2,1100
3,64,1896,13660.0,3,2,1090
3,64,2464,23307.0,3,2,1745
4,71,1905,14637.55,5,2,1112
4,72,1372,8816.85,5,1,965
3,150,2148,41620.0,4,2,1965
2,60,1391,11172.82,5,1,988
10,140,1997,31900.0,2,1,1540
2,120,1598,22650.0,5,2,1320
1,11,198,2300.0,0,1,108
2,90,1364,14850.0,5,2,980
2,98,1497,15450.0,5,1,1179
2,98,1560,22150.0,5,1,1290
2,98,1124,12795.0,5,1,1010
7,128,1997,29445.3,5,2,1873
7,128,1398,17150.0,5,2,1168
7,128,1753,15910.0,5,2,1577
2,90,1360,17350.0,3,1,1182
9,90,1997,14917.12,5,2,1155
3,84,1598,14896.95,5,1,1120
2,100,1686,21220.0,4,2,1329
2,110,1587,18040.0,5,1,1204
2,120,1560,29450.0,5,2,1300
4,68,1399,14385.0,3,2,1061
2,46,2240,35000.0,0,2,1320
3,63,1086,10300.0,5,1,886
3,63,1868,13529.0,5,1,1155
2,14,125,2259.0,0,1,120
15,90,1868,16680.0,5,2,1267
10,77,1368,13860.0,5,1,1040
4,82,1199,16700.0,3,1,1075
5,110,1587,18180.0,5,1,1324
2,31,125,2199.7,0,1,108
2,100,1587,15580.0,5,2,1176
4,11,49,1899.0,0,1,80
8,98,1390,13080.0,3,1,1049
8,106,1461,23950.0,5,2,1511
8,106,1422,14218.0,5,2,1106
14,90,1560,18090.0,5,2,1357
2,115,1685,30465.0,5,2,1425
4,109,1596,21750.0,5,1,1296
21,92,1560,17740.0,5,2,1182
2,145,1999,25560.0,5,1,1382
8,90,1560,15585.0,3,2,1103
4,60,1149,9784.48,5,1,900
4,60,1598,22320.0,5,1,1445
3,68,1905,16900.46,5,2,1635
1,150,1999,20290.0,5,1,1294
2,83,1341,12400.0,5,1,1035
2,154,2956,32190.0,3,2,1805
8,75,1390,9050.0,5,1,975
6,95,995,9000.0,5,2,780
7,60,1389,9301.26,5,1,995
2,103,1398,16240.0,5,1,1163
2,70,1398,14150.0,5,2,1186
3,75,1360,13780.0,3,1,1126
27,100,1596,17480.0,5,1,1122
21,50,583,7512.65,0,1,186
6,100,2172,22739.61,4,1,1475
2,70,1398,14380.0,5,2,1130
1,100,1598,17844.92,5,1,1130
2,98,599,7221.0,0,1,183
5,100,1995,23239.54,5,2,1428
2,21,250,3425.0,0,1,132
1,110,999,21807.67,5,1,1216
1,5,49,1778.0,0,1,72
2,110,1587,15207.0,3,1,1134
1,115,1995,26350.0,5,2,1305
1,115,1560,24880.0,5,2,1424
1,82,1598,11542.44,4,1,1032
21,29,250,5709.0,0,1,139
1,109,1560,19350.0,5,2,1310
1,110,1587,17805.0,5,1,1141
1,12,125,3249.0,0,1,127
3,86,1498,10313.37,5,1,1087
3,86,1588,13288.38,5,1,940
12,150,1498,23140.0,5,1,1224
7,90,1560,20330.0,5,2,1230
18,64,1968,33490.0,5,2,1470
2,23,249,4599.0,0,1,160
14,155,2198,36300.0,4,2,1502
14,155,2143,41149.99,4,2,1595
2,82,1493,14800.0,5,2,1370
1,68,1896,10653.78,3,2,975
16,100,1560,25879.99,5,2,1374
2,75,1360,11560.0,3,1,950
22,114,1769,17989.0,5,1,1420
4,140,2204,26400.0,4,2,1400
2,13,125,2163.0,0,1,131
1,100,1896,21670.0,5,2,1349
1,100,1870,26560.0,5,2,1530
3,115,1685,27500.0,5,2,1415
1,129,1998,30861.97,5,1,1440
1,68,1199,29200.0,5,2,1270
1,68,1390,11046.6,5,2,1009
1,95,1587,19024.0,5,1,1240
8,11,697,7999.0,0,1,234
8,11,697,8999.0,0,1,234
1,60,1124,14000.0,5,1,942
1,90,1461,12100.0,5,2,1114
6,90,1867,11800.0,5,2,1010
6,90,1997,15360.67,5,2,1230
3,71,1868,14890.0,4,2,1185
3,71,1997,21110.0,4,2,1421
1,130,1598,29450.0,5,2,1626
4,100,1870,16107.12,2,2,1105
15,135,1794,21900.0,5,1,1160
15,135,999,17725.0,5,1,1026
20,70,1398,14067.0,5,2,947
2,7,49,1573.0,0,1,75
2,9,125,1579.0,0,1,97
5,180,2496,38300.0,4,2,1595
21,68,1398,15100.0,5,2,1070
21,68,1870,13011.91,5,2,1100
4,90,1582,17500.0,5,2,1309
3,10,125,2719.0,0,1,107
7,70,1398,15500.0,5,2,1184
8,101,1329,17570.0,5,1,1220
2,63,1449,18200.0,0,1,335
1,95,1587,17014.0,5,1,1240
8,70,1422,14218.0,5,2,1106
2,110,1197,22024.69,5,1,1229
1,61,1124,13790.0,5,1,1085
14,109,1997,23550.0,5,2,1574
14,109,1598,14835.0,5,2,1175
14,109,1758,17524.0,5,2,1320
2,103,1596,16710.0,3,1,1195
18,150,1596,27350.0,5,1,1579
3,103,1599,15050.0,5,1,1248
9,92,1560,22040.0,5,2,1125
5,60,1149,12450.0,5,1,935
8,5,49,2467.0,0,1,90
1,68,1399,13110.0,5,2,1068
5,75,1248,17370.0,5,2,1180
2,122,1390,21680.0,5,1,1215
7,71,1905,12230.6,3,2,1155
21,4,49,2139.0,0,2,85
10,7,50,2990.0,0,1,82
3,68,1399,15475.0,5,2,1092
4,9,125,2249.0,0,1,113
1,110,1461,16100.0,5,2,1187
8,190,2698,43280.0,2,2,1550
8,190,1560,23540.0,2,2,1205
5,110,1560,21610.0,5,2,1322
18,90,1360,15832.0,5,1,1057
5,4,49,1899.0,0,1,78
1,100,1560,21639.98,4,2,1367
21,65,1870,10577.81,4,2,955
3,105,1910,15656.37,5,2,1270
2,110,1598,26935.01,5,2,1315
10,115,1598,21280.0,5,1,1445
2,100,1595,15157.53,5,1,1145
5,9,49,3825.0,0,1,92
2,33,330,5569.0,0,1,182
1,140,1997,27800.0,5,2,1496
4,100,1390,12821.0,5,1,1073
4,105,1910,14490.0,4,2,1235
2,100,1995,20728.91,4,2,1450
4,125,999,21150.0,5,1,1205
2,60,1769,9818.43,4,2,945
2,60,1870,14123.78,4,2,1100
9,110,1896,16016.97,4,2,1172
5,120,2463,28335.0,5,2,1901
3,72,1150,9270.0,5,1,960
28,84,1206,11450.0,5,1,1030
4,5,49,1499.0,0,1,58
1,110,1997,20950.0,5,2,1595
1,110,1560,24880.0,5,2,1424
16,150,2993,46800.0,5,2,1595
2,65,1199,10998.52,5,1,1000
19,110,1598,26279.68,5,2,1420
1,10,124,1949.0,0,1,121
9,90,1997,19790.0,5,2,1243
6,88,1386,13600.0,5,1,1092
2,68,2498,13222.27,5,2,1515
4,90,898,17039.99,4,2,1082
2,100,1995,18850.0,5,2,1560
2,100,1686,22850.0,5,2,1428
4,5,49,1051.45,0,1,58
20,100,1560,24235.01,5,2,1374
1,95,1248,22220.0,5,2,1300
1,125,1796,22919.44,5,1,1380
6,100,1896,15571.0,5,2,1165
6,100,1360,13010.0,5,2,1025
2,120,1597,26600.0,5,2,1541
2,120,1997,38180.0,5,2,1764
2,120,1461,21315.36,5,2,1272
1,105,1598,19400.0,5,2,1405
1,120,1997,33239.99,6,2,1770
7,20,883,9600.0,0,1,260
5,155,2496,37980.0,4,2,1560
2,75,1461,15800.0,5,2,1090
2,75,1560,17600.0,5,2,1340
6,69,1242,10915.0,3,1,865
2,115,1596,23900.0,5,1,1245
2,115,1994,25840.0,5,1,1345
4,12,125,3160.0,0,1,149
10,110,2286,21292.0,5,2,1750
2,110,1870,20200.0,5,2,1310
8,136,1422,13060.0,4,2,1128
5,140,1968,25790.0,3,2,1316
5,72,1975,15554.19,3,2,1215
3,129,1794,22850.0,5,1,1265
2,70,1984,17777.94,5,2,1035
2,110,1560,22290.0,5,2,1391
16,109,1560,20860.0,5,2,1344
2,76,645,6929.0,0,1,197
4,90,1997,16781.0,3,2,1204
14,90,1753,19600.0,5,2,1521
1,90,1587,13892.39,5,1,1078
5,92,1905,16263.39,4,2,1140
6,75,1560,19460.0,5,2,1219
10,95,1199,13350.0,5,2,1051
2,100,2198,25350.0,5,2,1728
3,51,796,7500.0,5,1,835
3,95,1248,16820.0,5,2,1210
1,110,1896,20831.08,5,2,1296
1,110,1587,18810.0,5,1,1204
7,75,1360,15670.0,5,1,1139
11,102,2461,26840.0,5,2,1879
12,80,1240,12150.0,3,1,975
19,112,1951,29150.0,5,2,1565
15,112,1560,30580.0,5,2,1398
7,85,1461,14561.3,5,2,1185
3,90,1896,18500.0,5,2,1365
20,110,1896,20344.26,4,2,1378
20,110,1398,15717.0,4,2,947
6,136,1796,29575.0,5,2,1370
4,136,1686,20410.0,4,2,1305
1,120,998,22270.0,5,1,1269
8,125,999,19900.0,5,1,1374
3,19,249,4149.0,0,1,180
21,75,999,14874.69,5,1,1055
1,88,1386,15990.0,5,1,1092
3,95,1499,13715.0,4,2,1230
3,95,1560,17970.0,4,2,1244
3,61,999,9215.0,5,1,854
1,65,1461,17090.0,5,2,1085
2,150,1968,31570.0,5,2,1585
3,90,2402,24180.0,5,2,1937
1,115,1753,19740.0,4,2,1431
2,105,1870,19020.0,5,2,1290
4,92,1560,22365.24,5,2,1360
5,86,2446,20000.0,5,2,1910
5,86,2496,18180.62,5,2,1808
5,86,1870,18540.0,5,2,1150
3,75,1461,14800.0,5,2,1175
3,75,1685,28795.0,5,2,1425
3,80,1229,12240.0,5,1,960
1,75,999,15250.01,5,1,1055
10,115,1796,14050.0,5,1,1420
10,115,1498,23900.0,5,1,1579
4,15,124,4399.0,0,1,135
1,14,125,5099.0,0,1,160
2,110,1598,17520.0,4,1,1090
1,150,2148,31200.0,3,2,1440
20,115,1560,23650.0,5,2,1429
2,20,250,5499.0,0,1,165
2,90,1560,16150.0,5,2,1205
2,90,2902,28715.0,5,2,2018
